"site","replica","cover","subregion","region","chl_mean","sst_mean","fwd_mean","wf_log","rugosity","inclinacao","easting","northing","distance_S","str_size","str_ab"
"Engenho",9,0.79,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Engenho",10,0.93,"MRBS","SW-NE",4.549,25.266,0.747,3.88428,1.233,33.15,420138.500664975,7371509.81272969,115.050943,25.8892857142857,1
"Enseada (Guarujá)",1,0.82,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",2,0.86,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",3,0.94,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",4,0.61,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",5,1,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",6,1,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",7,1,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",8,1,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",9,0.91,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Guarujá)",10,1,"MRBS","SW-NE",6.934,25.436,0.922,3.91065,1.044,12.4,373103.989246484,7345856.00175446,61.627727,21.9681818181818,20
"Enseada (Ubatuba)",1,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",2,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",3,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",4,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",5,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",6,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",7,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",8,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",9,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Enseada (Ubatuba)",10,0,"Ubatuba","SW-NE",2.114,25.484,0.673,2.94718,1.034,71.3,491415.47511152,7401023.1555529,192.16973,NA,NA
"Félix",1,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",2,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",3,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",4,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",5,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",6,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",7,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",8,0.03,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",9,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
"Félix",10,0,"Ubatuba","SW-NE",2.153,25.028,0.648,3.768971,1.461,19.5,502953.088354905,7413052.47120417,207.721753,NA,NA
