site	region	subregion	distance_S	easting	northing	tamanho_mm	chl_mean	sst_mean	fwd_mean	wf_log	rugosity	inclinacao	Tetr_size	Tetr_density	Brach_cover	Brach_size	perna_PA	perna_cover	Brach_RW
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.490	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.380	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.240	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.860	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.000	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.040	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.200	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	16.990	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.940	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.380	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	16.040	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	19.660	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.590	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.550	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.920	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.730	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.600	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.150	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.240	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.540	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.000	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.220	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.470	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	16.180	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.660	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	16.520	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	16.640	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	16.610	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	18.250	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	15.170	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.090	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.430	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	16.050	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	17.000	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
Ast�rias	south	south1	59.233413	371222.1054	7344123.834	16.430	5.767	25.399	0.949	3.632	1.413	17.050	3.408	34.733	84.000	8.706	0	0.000	115.818
